檻,槛
糡,糨
漿,糨
謹,谨
燼,烬
覲,觐
舊,旧
屨,屦
鵑,鹃
騍,骒
蕢,蒉
簣,篑
聵,聩
攔,拦
耮,耢
壘,垒
鎔,镕
蕋,蕊
鎖,锁
鎻,锁
鏁,锁
擡,抬
禮,礼
鯉,鲤
糧,粮
繚,缭
鎦,镏
嚕,噜
轆,辘
謾,谩
謬,谬
謨,谟
饃,馍
饝,馍
鎿,镎
蟯,蛲
儗,拟
懝,拟
膩,腻
聶,聂
噛,啮
嚙,啮
鎳,镍
擰,拧
獰,狞
檸,柠
濘,泞
槈,耨
鎒,耨
謳,讴
蹣,蹒
騏,骐
騎,骑
蕁,荨
蕎,荞
竅,窍
翹,翘
檾,苘
軀,躯
覷,觑
覻,觑
覷,觑
闋,阕
闕,阙
蕘,荛
繞,绕
遶,绕
鎩,铩
鯊,鲨
繕,缮
觴,觞
嬸,婶
濕,湿
溼,湿
適,适
雙,双
颼,飕
濤,涛
檮,梼
鵜,鹈
題,题
闐,阗
濰,潍
韙,韪
蕪,芜
餼,饩
顔,颜
醫,医
毉,医
彜,彝
鎰,镒
蠅,蝇
隕,陨
韞,韫
雜,杂
襍,杂
鵒,鹆
魊,蜮
簮,簪
賾,赜
繒,缯
謫,谪
讁,谪
鎮,镇
織,织
職,职
贄,贽
擲,掷
躓,踬
顓,颛
轉,转
騅,骓
鬉,鬃
擺,摆
鵯,鹎
鏰,镚
鏢,镖
癟,瘪
譎,谲
蹷,蹶
鶉,鹑
髊,骴
辭,辞
辤,辞
鯡,鲱
饈,馐
鶓,鹋
鏟,铲
鯧,鲳
謿,嘲
蟶,蛏
懲,惩
寵,宠
疇,畴
蹵,蹴
噠,哒
襠,裆
禱,祷
鄧,邓
鏑,镝
顛,颠
鯛,鲷
鶇,鸫
瀆,渎
櫝,椟
牘,牍
犢,犊
韝,鞲
鯝,鲴
關,关
関,关
獷,犷
壞,坏
繯,缳
謊,谎
繪,绘
薈,荟
譏,讥
